Age,Department,Gender,MaritalStatus,BusinessTravel,EducationField,DistanceFromHome,JobLevel,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,MonthlyIncome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,PerformanceRating,PercentSalaryHike,JobRole,Attrition,Attrition_Flag,Age_Group,Salary_Slab,Tenure_Group
39,Research & Development,Female,Divorced,Travel_Rarely,Life Sciences,3,3,4,3,2,3,No,6405,2,29,5,0,0,3,6,3,13,Research Director,No,0,36-45,6K-10K,2-5 years
27,Research & Development,Male,Divorced,Travel_Rarely,Life Sciences,3,2,4,2,2,4,No,4423,0,25,20,6,4,0,1,3,24,Manufacturing Director,No,0,26-35,3K-6K,10+ years
43,Research & Development,Male,Married,Travel_Frequently,Life Sciences,13,4,4,4,3,3,No,1723,3,11,12,6,5,1,1,3,16,Manufacturing Director,No,0,36-45,< 3K,10+ years
44,Sales,Female,Married,Travel_Rarely,Marketing,6,1,4,3,3,2,No,6624,1,17,2,4,2,7,5,3,13,Sales Representative,No,0,36-45,6K-10K,2-5 years
18,Sales,Male,Married,Travel_Rarely,Technical Degree,10,2,3,4,3,3,Yes,2551,3,20,3,4,3,4,4,3,13,Sales Executive,No,0,18-25,< 3K,2-5 years
24,Research & Development,Male,Married,Travel_Rarely,Human Resources,13,5,2,4,2,3,No,6229,3,2,5,9,1,11,2,3,15,Healthcare Representative,No,0,18-25,6K-10K,2-5 years
37,Research & Development,Male,Single,Travel_Frequently,Life Sciences,8,1,1,1,4,3,Yes,2235,2,4,14,5,2,4,0,3,12,Laboratory Technician,No,0,36-45,< 3K,10+ years
33,Human Resources,Male,Married,Travel_Frequently,Life Sciences,12,3,3,3,2,2,No,3500,2,17,0,2,6,8,3,3,15,Human Resources,No,0,26-35,3K-6K,0-1 years
36,Research & Development,Male,Single,Travel_Frequently,Other,9,1,1,4,3,3,No,4097,2,6,0,5,7,7,3,3,20,Manufacturing Director,No,0,36-45,3K-6K,0-1 years
28,Research & Development,Female,Divorced,Travel_Rarely,Marketing,9,2,1,3,2,4,No,10070,0,17,10,12,0,4,4,3,25,Healthcare Representative,No,0,26-35,10K+,6-10 years
44,Research & Development,Female,Married,Non-Travel,Medical,18,1,1,3,3,3,No,3878,0,24,0,6,1,0,2,3,11,Manufacturing Director,No,0,36-45,3K-6K,0-1 years
43,Research & Development,Female,Married,Travel_Rarely,Life Sciences,7,2,2,4,3,3,No,2879,1,0,1,2,0,4,3,3,19,Research Scientist,No,0,36-45,< 3K,0-1 years
37,Sales,Male,Married,Travel_Rarely,Life Sciences,13,3,4,2,3,2,No,6354,2,8,5,4,8,2,4,3,14,Sales Executive,No,0,36-45,6K-10K,2-5 years
46,Sales,Male,Divorced,Travel_Rarely,Medical,2,1,2,4,4,4,No,4615,5,9,6,6,5,2,1,3,16,Sales Manager,No,0,46-60,3K-6K,6-10 years
40,Sales,Male,Single,Travel_Rarely,Medical,9,1,2,2,3,2,Yes,8032,2,7,0,2,0,5,2,3,20,Sales Manager,No,0,36-45,6K-10K,0-1 years
28,Research & Development,Male,Single,Travel_Rarely,Life Sciences,21,1,3,3,3,3,Yes,2981,1,6,8,2,2,0,1,3,15,Laboratory Technician,Yes,1,26-35,< 3K,6-10 years
39,Research & Development,Female,Single,Travel_Rarely,Other,29,1,2,2,3,3,No,5839,2,7,9,4,2,1,2,3,17,Research Director,No,0,36-45,3K-6K,6-10 years
27,Research & Development,Male,Married,Travel_Rarely,Medical,2,2,3,3,4,1,No,20000,2,11,2,10,0,0,1,4,15,Manufacturing Director,No,0,26-35,10K+,2-5 years
44,Research & Development,Female,Divorced,Travel_Rarely,Medical,6,4,3,1,4,3,Yes,4559,0,12,16,7,6,3,4,3,16,Research Scientist,No,0,36-45,3K-6K,10+ years
36,Research & Development,Male,Single,Travel_Frequently,Life Sciences,4,1,1,1,3,2,No,5762,5,19,8,2,6,1,2,3,21,Laboratory Technician,No,0,36-45,3K-6K,6-10 years
34,Research & Development,Female,Divorced,Travel_Rarely,Marketing,7,2,3,2,3,4,Yes,2086,4,11,0,7,3,1,1,3,15,Research Director,No,0,26-35,< 3K,0-1 years
30,Research & Development,Male,Single,Travel_Rarely,Marketing,15,2,1,2,4,2,No,3253,0,20,16,4,1,5,3,4,19,Laboratory Technician,No,0,26-35,3K-6K,10+ years
47,Research & Development,Male,Married,Travel_Rarely,Life Sciences,18,1,3,3,4,4,No,6696,1,6,3,5,1,2,4,3,22,Research Director,No,0,46-60,6K-10K,2-5 years
35,Sales,Female,Single,Travel_Frequently,Medical,19,1,4,1,1,3,Yes,4337,6,1,7,5,3,4,2,3,20,Sales Representative,No,0,26-35,3K-6K,6-10 years
32,Research & Development,Male,Married,Travel_Rarely,Medical,2,3,4,1,4,2,Yes,7291,2,9,3,0,1,0,4,3,22,Research Director,No,0,26-35,6K-10K,2-5 years
33,Research & Development,Female,Married,Travel_Rarely,Technical Degree,8,2,2,2,3,3,No,6569,1,15,10,0,2,1,0,4,18,Manufacturing Director,No,0,26-35,6K-10K,6-10 years
41,Sales,Male,Married,Travel_Rarely,Life Sciences,5,3,4,3,3,2,No,2519,1,18,3,5,4,12,4,3,17,Sales Executive,No,0,36-45,< 3K,2-5 years
39,Sales,Male,Single,Travel_Rarely,Technical Degree,7,2,4,2,3,4,No,9089,3,23,3,1,0,1,6,3,11,Sales Representative,No,0,36-45,6K-10K,2-5 years
40,Sales,Male,Divorced,Travel_Rarely,Medical,6,2,4,1,2,2,Yes,2625,5,13,5,0,0,0,2,3,21,Sales Manager,No,0,36-45,< 3K,2-5 years
40,Research & Development,Female,Divorced,Travel_Rarely,Life Sciences,2,4,2,3,3,4,No,3414,2,17,3,1,2,5,2,3,21,Research Director,No,0,36-45,3K-6K,2-5 years
55,Sales,Male,Married,Travel_Rarely,Life Sciences,18,3,3,4,3,1,No,5900,0,22,12,8,7,1,2,3,18,Sales Representative,No,0,46-60,3K-6K,10+ years
32,Research & Development,Female,Married,Travel_Rarely,Life Sciences,4,4,2,3,2,2,No,12311,1,5,0,5,5,5,5,3,21,Research Scientist,No,0,26-35,10K+,0-1 years
31,Research & Development,Female,Divorced,Travel_Rarely,Life Sciences,5,1,1,2,3,2,No,2994,2,9,6,7,2,4,2,3,20,Laboratory Technician,No,0,26-35,< 3K,6-10 years
29,Research & Development,Female,Single,Travel_Rarely,Medical,21,5,3,4,2,3,Yes,5640,4,33,7,6,4,6,2,3,13,Laboratory Technician,No,0,26-35,3K-6K,6-10 years
42,Research & Development,Male,Divorced,Travel_Rarely,Marketing,2,3,3,3,3,3,No,5666,2,18,5,0,2,4,3,3,14,Research Director,No,0,36-45,3K-6K,2-5 years
46,Research & Development,Female,Single,Travel_Rarely,Life Sciences,11,3,2,3,3,4,No,7465,1,15,12,7,6,3,3,3,20,Manufacturing Director,No,0,46-60,6K-10K,10+ years
35,Research & Development,Female,Married,Travel_Rarely,Other,16,2,4,2,3,3,No,9973,2,18,0,6,4,9,2,3,12,Manufacturing Director,No,0,26-35,6K-10K,0-1 years
28,Sales,Male,Single,Travel_Rarely,Life Sciences,20,5,3,2,2,1,No,4164,7,0,9,4,6,0,0,3,24,Sales Manager,No,0,26-35,3K-6K,6-10 years
29,Research & Development,Male,Single,Travel_Rarely,Medical,11,2,4,3,1,3,Yes,9072,3,6,0,4,0,0,3,3,16,Research Scientist,No,0,26-35,6K-10K,0-1 years
42,Research & Development,Male,Married,Travel_Rarely,Human Resources,13,3,4,2,2,3,Yes,10809,4,3,3,7,0,1,2,3,20,Laboratory Technician,No,0,36-45,10K+,2-5 years
43,Research & Development,Male,Married,Travel_Rarely,Technical Degree,16,3,4,3,3,4,Yes,13871,7,14,0,1,3,0,3,3,18,Healthcare Representative,No,0,36-45,10K+,0-1 years
41,Research & Development,Female,Divorced,Travel_Rarely,Medical,7,3,4,2,4,3,No,6853,3,8,4,8,4,2,5,3,21,Laboratory Technician,No,0,36-45,6K-10K,2-5 years
30,Research & Development,Male,Divorced,Travel_Rarely,Marketing,4,3,1,1,3,3,Yes,5670,2,12,3,6,10,2,2,3,16,Manufacturing Director,No,0,26-35,3K-6K,2-5 years
38,Research & Development,Male,Single,Travel_Rarely,Life Sciences,22,1,1,1,3,2,Yes,4005,1,9,16,4,0,8,3,3,21,Research Director,No,0,36-45,3K-6K,10+ years
37,Research & Development,Male,Single,Travel_Rarely,Life Sciences,12,1,4,1,2,4,Yes,2331,1,0,7,10,2,4,7,3,13,Healthcare Representative,No,0,36-45,< 3K,6-10 years
38,Sales,Male,Married,Travel_Rarely,Medical,8,2,1,3,2,2,Yes,4463,5,18,9,0,2,3,4,3,15,Sales Representative,No,0,36-45,3K-6K,6-10 years
44,Sales,Male,Married,Travel_Frequently,Life Sciences,2,3,2,1,4,4,No,5531,2,0,0,2,3,2,2,3,11,Sales Executive,No,0,36-45,3K-6K,0-1 years
38,Research & Development,Female,Married,Travel_Rarely,Life Sciences,1,3,3,3,3,2,No,4896,3,5,10,1,8,0,2,3,13,Research Director,No,0,36-45,3K-6K,6-10 years
42,Research & Development,Female,Divorced,Travel_Rarely,Life Sciences,11,3,2,2,2,4,No,7224,3,0,16,5,5,8,2,3,11,Research Scientist,No,0,36-45,6K-10K,10+ years
37,Sales,Male,Married,Travel_Frequently,Human Resources,1,3,2,3,3,4,No,2337,3,4,11,9,0,9,1,3,18,Sales Executive,No,0,36-45,< 3K,10+ years
39,Human Resources,Female,Single,Travel_Rarely,Technical Degree,8,2,3,4,3,4,No,4705,2,13,0,0,7,0,4,3,12,Human Resources,No,0,36-45,3K-6K,0-1 years
42,Research & Development,Male,Married,Travel_Rarely,Technical Degree,5,1,2,4,2,3,No,15577,0,21,3,17,7,10,5,3,14,Laboratory Technician,No,0,36-45,10K+,2-5 years
23,Sales,Male,Married,Travel_Rarely,Marketing,6,2,3,3,1,3,No,8991,2,0,7,1,3,1,5,3,18,Sales Manager,No,0,18-25,6K-10K,6-10 years
33,Sales,Male,Married,Non-Travel,Life Sciences,19,4,1,2,3,4,Yes,7298,1,7,3,5,0,1,4,3,21,Sales Representative,No,0,26-35,6K-10K,2-5 years
32,Sales,Female,Single,Non-Travel,Life Sciences,5,2,3,3,1,3,No,6446,1,0,21,4,2,6,3,3,11,Sales Manager,No,0,26-35,6K-10K,10+ years
30,Research & Development,Female,Married,Travel_Rarely,Medical,9,4,1,4,3,3,No,4253,3,6,3,4,4,6,1,3,21,Research Scientist,No,0,26-35,3K-6K,2-5 years
34,Research & Development,Female,Married,Travel_Frequently,Medical,5,5,3,3,3,2,No,1982,2,12,6,1,5,4,3,3,18,Research Director,No,0,26-35,< 3K,6-10 years
49,Research & Development,Male,Single,Travel_Rarely,Life Sciences,10,1,1,1,4,3,Yes,6686,3,17,2,8,0,3,3,3,11,Manufacturing Director,No,0,46-60,6K-10K,2-5 years
28,Research & Development,Male,Married,Travel_Rarely,Medical,9,3,2,4,3,3,Yes,1500,2,0,7,1,0,9,8,3,12,Manufacturing Director,No,0,26-35,< 3K,6-10 years
45,Research & Development,Female,Married,Travel_Rarely,Medical,8,2,4,1,1,3,Yes,4348,4,15,14,0,6,2,2,3,25,Research Scientist,No,0,36-45,3K-6K,10+ years
21,Research & Development,Male,Married,Travel_Rarely,Life Sciences,16,2,2,4,3,2,No,5190,2,3,7,0,7,4,7,4,17,Healthcare Representative,No,0,18-25,3K-6K,6-10 years
33,Research & Development,Female,Married,Travel_Rarely,Life Sciences,2,1,4,1,2,3,No,4066,3,1,5,10,4,11,2,3,24,Manufacturing Director,No,0,26-35,3K-6K,2-5 years
37,Research & Development,Female,Divorced,Travel_Frequently,Medical,1,1,2,1,4,4,Yes,17166,3,12,0,9,6,0,5,3,18,Healthcare Representative,No,0,36-45,10K+,0-1 years
41,Sales,Male,Single,Travel_Rarely,Medical,3,1,2,4,3,3,Yes,14183,4,16,13,0,4,2,3,3,12,Sales Manager,No,0,36-45,10K+,10+ years
42,Research & Development,Female,Single,Travel_Rarely,Other,9,2,2,3,3,4,Yes,9177,4,10,5,7,5,8,0,4,21,Laboratory Technician,No,0,36-45,6K-10K,2-5 years
43,Research & Development,Female,Single,Travel_Rarely,Medical,11,1,4,3,3,2,Yes,3126,3,2,5,0,3,6,7,4,18,Research Director,No,0,36-45,3K-6K,2-5 years
33,Sales,Male,Married,Travel_Rarely,Marketing,1,2,2,4,2,3,No,14961,1,10,0,4,4,8,0,4,16,Sales Representative,No,0,26-35,10K+,0-1 years
32,Sales,Female,Single,Travel_Rarely,Marketing,11,2,2,4,3,3,No,7309,1,5,5,0,0,0,3,3,14,Sales Executive,No,0,26-35,6K-10K,2-5 years
44,Human Resources,Female,Married,Non-Travel,Life Sciences,6,2,3,3,4,3,No,3097,7,16,4,8,5,5,1,4,17,HR Manager,No,0,36-45,3K-6K,2-5 years
34,Sales,Male,Single,Travel_Rarely,Medical,22,3,2,4,2,3,No,5294,4,20,0,6,0,3,1,3,25,Sales Executive,No,0,26-35,3K-6K,0-1 years
25,Sales,Female,Single,Travel_Rarely,Medical,11,2,4,2,2,2,No,8810,1,19,12,8,5,13,1,3,14,Sales Manager,No,0,18-25,6K-10K,10+ years
26,Research & Development,Male,Married,Travel_Rarely,Medical,21,1,4,1,4,3,No,3741,0,11,3,3,1,7,4,3,19,Research Director,No,0,26-35,3K-6K,2-5 years
28,Research & Development,Female,Married,Non-Travel,Life Sciences,18,5,3,4,3,2,No,5618,1,20,17,3,4,4,2,3,11,Laboratory Technician,No,0,26-35,3K-6K,10+ years
40,Research & Development,Female,Divorced,Non-Travel,Human Resources,6,3,3,2,2,3,No,6189,4,3,14,0,0,5,1,3,21,Manufacturing Director,No,0,36-45,6K-10K,10+ years
37,Research & Development,Female,Married,Travel_Rarely,Other,15,2,2,4,1,4,No,2838,2,25,2,0,1,4,1,3,24,Healthcare Representative,No,0,36-45,< 3K,2-5 years
42,Sales,Male,Married,Travel_Rarely,Life Sciences,6,3,4,1,3,1,Yes,4482,2,3,14,8,4,7,3,3,25,Sales Representative,Yes,1,36-45,3K-6K,10+ years
32,Research & Development,Female,Married,Travel_Rarely,Life Sciences,24,1,3,1,3,3,Yes,2958,0,0,16,5,5,1,1,3,23,Research Director,No,0,26-35,< 3K,10+ years
37,Research & Development,Male,Married,Travel_Frequently,Life Sciences,7,3,1,1,3,3,No,8385,1,22,3,4,6,9,2,3,21,Research Director,No,0,36-45,6K-10K,2-5 years
42,Research & Development,Male,Single,Travel_Frequently,Marketing,12,1,4,3,2,3,No,3156,1,5,0,9,0,0,6,3,19,Laboratory Technician,No,0,36-45,3K-6K,0-1 years
33,Research & Development,Male,Married,Travel_Frequently,Medical,27,2,4,4,3,1,Yes,6105,1,12,0,0,0,5,2,3,24,Laboratory Technician,No,0,26-35,6K-10K,0-1 years
40,Research & Development,Male,Married,Travel_Rarely,Life Sciences,12,1,3,2,3,3,No,2421,5,3,8,7,0,1,4,3,11,Healthcare Representative,No,0,36-45,< 3K,6-10 years
30,Research & Development,Male,Single,Travel_Rarely,Technical Degree,6,3,2,1,4,4,No,2788,2,30,0,0,0,4,2,3,14,Manufacturing Director,No,0,26-35,< 3K,0-1 years
33,Sales,Male,Married,Travel_Rarely,Life Sciences,3,1,3,2,3,3,No,2715,1,26,8,10,7,8,2,3,11,Sales Representative,No,0,26-35,< 3K,6-10 years
33,Research & Development,Female,Married,Travel_Rarely,Medical,2,1,4,2,3,3,No,4434,0,23,3,6,7,0,2,4,14,Research Director,No,0,26-35,3K-6K,2-5 years
25,Sales,Male,Married,Travel_Rarely,Life Sciences,11,1,3,3,3,3,Yes,5742,2,12,1,8,0,3,4,3,14,Sales Executive,No,0,18-25,3K-6K,0-1 years
40,Sales,Male,Single,Travel_Rarely,Medical,8,3,2,3,2,4,No,6355,4,19,3,1,8,0,4,3,17,Sales Representative,No,0,36-45,6K-10K,2-5 years
32,Research & Development,Male,Married,Travel_Rarely,Medical,3,1,2,1,2,1,Yes,1962,4,11,0,13,6,3,5,3,21,Laboratory Technician,No,0,26-35,< 3K,0-1 years
36,Research & Development,Male,Divorced,Travel_Frequently,Life Sciences,14,2,2,3,1,2,No,4739,2,20,3,12,0,0,4,3,24,Healthcare Representative,No,0,36-45,3K-6K,2-5 years
40,Sales,Female,Single,Travel_Frequently,Medical,14,1,1,3,2,3,No,3441,4,8,2,6,0,5,4,3,19,Sales Manager,No,0,36-45,3K-6K,2-5 years
40,Research & Development,Male,Married,Travel_Frequently,Human Resources,8,3,4,2,4,3,Yes,6976,6,24,6,9,0,2,2,3,11,Research Director,No,0,36-45,6K-10K,6-10 years
42,Sales,Male,Single,Travel_Frequently,Medical,21,1,1,2,2,3,No,4488,2,7,7,3,2,7,4,4,12,Sales Representative,Yes,1,36-45,3K-6K,6-10 years
35,Research & Development,Female,Single,Travel_Rarely,Human Resources,2,4,2,3,4,2,No,4974,0,8,0,0,3,9,2,3,17,Laboratory Technician,No,0,26-35,3K-6K,0-1 years
32,Sales,Female,Divorced,Travel_Rarely,Medical,6,1,4,2,1,2,No,3452,4,7,13,7,3,4,1,4,20,Sales Executive,No,0,26-35,3K-6K,10+ years
35,Sales,Female,Married,Travel_Rarely,Marketing,12,1,3,1,3,3,No,13426,4,13,5,0,0,8,4,3,23,Sales Manager,No,0,26-35,10K+,2-5 years
21,Research & Development,Female,Married,Travel_Rarely,Life Sciences,3,1,2,2,3,2,Yes,2567,2,8,15,9,0,10,2,3,16,Laboratory Technician,No,0,18-25,< 3K,10+ years
23,Research & Development,Female,Single,Travel_Rarely,Marketing,15,1,4,4,2,3,No,4174,2,15,7,8,3,0,2,3,13,Laboratory Technician,No,0,18-25,3K-6K,6-10 years
